Replicate	Random Errors	RFDist	MCDist	N1 Identical	N1 Overlap	Average(N1+N2-2)	Not at Root	Parsimony Optimal
12	80	1	1	9	10	0.1	10	1.1
12	90	1.5	3	8	10	0.2	10	1.1
12	100	1.5	3	8	10	0.2	10	1.1
13	10	0	0	10	10	0	10	1.1
13	20	0	0	10	10	0	10	1.1
13	30	0	0	10	10	0	10	1.1
13	40	0	0	10	10	0	10	1.1
13	50	0	0	10	10	0	10	1.1
13	60	1	2	9	9	0.2	10	1.2
13	70	1	2	9	9	0.2	10	1.2
13	80	1	2	9	9	0.2	10	1.3
13	90	1	2	9	9	0.2	10	1.4
13	100	3.5	6	7	8	0.5	10	1.2
14	10	0	0	10	10	0	10	1
14	20	0	0	10	10	0	10	1
14	30	0	0	10	10	0	10	1
14	40	0	0	10	10	0	10	1.1
14	50	0	0	10	10	0	10	1.1
14	60	1.5	627	9	9	0.2	10	1.2
14	70	1.5	627	9	9	0.2	10	1.4
14	80	1.5	627	9	9	0.2	10	1.5
14	90	1.5	627	9	9	0.2	10	1.5
14	100	1.5	627	9	9	0.2	10	1.5
15	10	0.5	2	9	10	0.1	10	1.2
15	20	0.5	2	9	10	0.1	10	1.2
15	30	0.5	2	9	10	0.1	10	1.2
15	40	0.5	2	9	10	0.1	10	1.2
15	50	0.5	2	9	10	0.1	10	1.2
15	60	0.5	2	9	10	0.1	10	1.2
15	70	2	11	7	10	0.3	10	1.5
15	80	2	11	7	10	0.3	10	1.6
15	90	2.5	13	6	10	0.4	10	1.7
15	100	2.5	13	6	10	0.4	10	1.8
16	10	0	0	10	10	0	10	1
16	20	0	0	10	10	0	10	1.1
16	30	0	0	10	10	0	10	1.1
16	40	0	0	10	10	0	10	1.1
16	50	0	0	10	10	0	10	1.1
16	60	0.5	4	9	10	0.1	10	1.1
16	70	0.5	4	9	10	0.1	10	1.1
16	80	0.5	4	9	10	0.1	10	1.2
16	90	0.5	4	9	10	0.1	10	1.2
16	100	1	6	8	10	0.2	10	1.1
17	10	0	0	10	10	0	10	1.1
17	20	0	0	10	10	0	10	1.1
17	30	0	0	10	10	0	10	1.1
17	40	0	0	10	10	0	10	1.1
17	50	0	0	10	10	0	10	1.1
17	60	0.5	2	9	10	0.1	10	1.1
17	70	0.5	2	9	10	0.1	10	1.2
17	80	0.5	2	9	10	0.1	10	1.2
17	90	0.5	2	9	10	0.1	10	1.4
17	100	2	13	7	10	0.3	10	1.4
18	10	0	0	10	10	0	10	1
18	20	0	0	10	10	0	10	1
18	30	0	0	10	10	0	10	1
18	40	0	0	10	10	0	10	1
18	50	1	1	9	10	0.1	10	1.1
18	60	1	1	9	10	0.1	10	1.1
18	70	1.5	3	8	10	0.2	10	1.1
18	80	1.5	3	8	10	0.2	10	1.2
18	90	1.5	3	8	10	0.2	10	1.2
18	100	1.5	5	8	10	0.2	10	1.3
19	10	0.5	2	9	10	0.1	10	1
19	20	0.5	2	9	10	0.1	10	1
19	30	0.5	2	9	10	0.1	10	1
19	40	0.5	2	9	10	0.1	10	1
19	50	0.5	2	9	10	0.1	10	1
19	60	0.5	2	9	10	0.1	10	1.2
19	70	0.5	2	9	10	0.1	10	1.5
19	80	0.5	2	9	10	0.1	10	1.6
19	90	1	4	8	10	0.2	10	1.4
19	100	1	4	8	10	0.2	10	1.4
20	10	0	0	9	9	0	9	1
20	20	0	0	9	9	0	9	1
20	30	0	0	9	9	0	9	1
20	40	0	0	9	9	0	9	1.2
20	50	0	0	9	9	0	9	1.2
20	60	0	0	9	9	0	9	1.2
20	70	0.5	5	8	9	0.1111111111	9	1.2
20	80	0.5	5	8	9	0.1111111111	9	1.2
20	90	0.5	5	8	9	0.1111111111	9	1.2
20	100	0.5	5	8	9	0.1111111111	9	1.2
21	10	0	0	10	10	0	10	1
21	20	0.5	2	9	10	0.1	10	1
21	30	0.5	2	9	10	0.1	10	1
21	40	0.5	2	9	10	0.1	10	1
21	50	0.5	2	9	10	0.1	10	1
21	60	0.5	2	9	10	0.1	10	1
21	70	0.5	2	9	10	0.1	10	1
21	80	0.5	2	9	10	0.1	10	1.1
21	90	0.5	2	9	10	0.1	10	1.2
21	100	0.5	2	9	10	0.1	10	1.3
22	10	1	2	9	9	0.2	10	1.1
22	20	1	2	9	9	0.2	10	1.1
22	30	1	2	9	9	0.2	10	1.1
22	40	1	2	9	9	0.2	10	1.1
22	50	1	2	9	9	0.2	10	1.1
22	60	1	2	9	9	0.2	10	1.2
22	70	1	2	9	9	0.2	10	1.2
22	80	1.5	4	8	9	0.3	10	1.3
22	90	1.5	4	8	9	0.3	10	1.5
22	100	1.5	4	8	9	0.3	10	1.5
23	10	0	0	9	9	0	9	1
23	20	0	0	9	9	0	9	1
23	30	0	0	9	9	0	9	1
23	40	0	0	9	9	0	9	1.1
23	50	0	0	9	9	0	9	1.2
23	60	0	0	9	9	0	9	1.3
23	70	2	-29353	7	9	0.2222222222	9	1.4
23	80	3.5	-29345	6	8	0.4444444444	9	1.9
23	90	3.5	-29345	6	8	0.4444444444	9	1.9
23	100	3.5	-29345	6	8	0.4444444444	9	2
24	10	0	0	10	10	0	10	1
24	20	0	0	10	10	0	10	1
24	30	0	0	10	10	0	10	1
24	40	0	0	10	10	0	10	1
24	50	0	0	10	10	0	10	1.2
24	60	0	0	10	10	0	10	1.3
24	70	0	0	10	10	0	10	1.3
24	80	0	0	10	10	0	10	1.6
24	90	0	0	10	10	0	10	1.7
24	100	0	0	10	10	0	10	1.7
25	10	0	0	10	10	0	10	1.2
25	20	0	0	10	10	0	10	1.3
25	30	0	0	10	10	0	10	1.3
25	40	0.5	3	9	10	0.1	10	1.1
25	50	0.5	3	9	10	0.1	10	1.1
25	60	1	5	8	10	0.2	10	1.1
25	70	1	5	8	10	0.2	10	1.1
25	80	1	5	8	10	0.2	10	1.1
25	90	1	5	8	10	0.2	10	1.1
25	100	2	19	7	9	0.4	10	1.3
26	10	0	0	9	9	0	9	1
26	20	0	0	9	9	0	9	1
26	30	0	0	9	9	0	9	1
26	40	0	0	9	9	0	9	1
26	50	0	0	9	9	0	9	1
26	60	0	0	9	9	0	9	1
26	70	0	0	9	9	0	9	1
26	80	0	0	9	9	0	9	1.1
26	90	0.5	2	8	9	0.1111111111	9	1.1
26	100	0.5	2	8	9	0.1111111111	9	1.1
27	10	0	0	10	10	0	10	1.1
27	20	0	0	10	10	0	10	1.1
27	30	0	0	10	10	0	10	1.1
27	40	0	0	10	10	0	10	1.2
27	50	0	0	10	10	0	10	1.2
27	60	0	0	10	10	0	10	1.2
27	70	0.5	2	9	10	0.1	10	1.1
27	80	0.5	2	9	10	0.1	10	1.1
27	90	0.5	2	9	10	0.1	10	1.1
27	100	0.5	2	9	10	0.1	10	1.2
28	10	0	0	9	9	0	9	1
28	20	0	0	9	9	0	9	1
28	30	0	0	9	9	0	9	1
28	40	0	0	9	9	0	9	1.2
28	50	0	0	9	9	0	9	1.2
28	60	0	0	9	9	0	9	1.2
28	70	0	0	9	9	0	9	1.2
28	80	0	0	9	9	0	9	1.3
28	90	0	0	9	9	0	9	1.3
28	100	0.5	2	8	9	0.1111111111	9	1.2
29	10	3	3	8	9	0.3	10	1.4
29	20	3	3	8	9	0.3	10	1.4
29	30	3	3	8	9	0.3	10	1.4
29	40	3	3	8	9	0.3	10	1.4
29	50	3	3	8	9	0.3	10	1.4
29	60	3	3	8	9	0.3	10	1.5
29	70	3.5	5	7	9	0.4	10	1.6
29	80	3.5	5	7	9	0.4	10	1.6
29	90	3.5	5	7	9	0.4	10	1.6
29	100	3.5	5	7	9	0.4	10	1.7
30	10	0	0	10	10	0	10	1
30	20	0	0	10	10	0	10	1
30	30	0	0	10	10	0	10	1
30	40	0	0	10	10	0	10	1.2
30	50	0	0	10	10	0	10	1.3
30	60	0	0	10	10	0	10	1.3
30	70	0	0	10	10	0	10	1.4
30	80	0	0	10	10	0	10	1.4
30	90	2	6	8	9	0.3	10	1.6
30	100	2	6	8	9	0.3	10	1.6
31	10	0	0	10	10	0	10	1.2
31	20	0	0	10	10	0	10	1.2
31	30	0	0	10	10	0	10	1.3
31	40	0.5	4	9	10	0.1	10	1.4
31	50	0.5	4	9	10	0.1	10	1.7
31	60	1.5	5	8	10	0.2	10	1.7
31	70	2.5	5	7	10	0.3	10	2.2
31	80	3	8	7	9	0.4	10	2.2
31	90	3.5	10	6	9	0.5	10	1.6
31	100	3.5	10	6	9	0.5	10	1.6
32	10	1	7	9	9	0.2	10	1.2
32	20	1	7	9	9	0.2	10	1.2
32	30	1	7	9	9	0.2	10	1.2
32	40	1	7	9	9	0.2	10	1.3
32	50	1	7	9	9	0.2	10	1.5
32	60	1.5	9	8	9	0.3	10	1.5
32	70	1.5	9	8	9	0.3	10	1.5
32	80	1.5	9	8	9	0.3	10	1.5
32	90	1.5	9	8	9	0.3	10	1.6
32	100	1.5	9	8	9	0.3	10	1.6
33	10	0.5	2	9	10	0.1	10	1
33	20	0.5	2	9	10	0.1	10	1
33	30	0.5	2	9	10	0.1	10	1
33	40	0.5	2	9	10	0.1	10	1
33	50	1	4	8	10	0.2	10	1
33	60	1	4	8	10	0.2	10	1.3
33	70	3	6	7	9	0.4	10	1.4
33	80	3.5	26	6	9	0.5	10	1.5
33	90	4	45	5	9	0.6	10	1.6
33	100	4	45	5	9	0.6	10	1.6
34	10	0	0	10	10	0	10	1
34	20	0	0	10	10	0	10	1
34	30	0	0	10	10	0	10	1.1
34	40	0.5	2	9	10	0.1	10	1.2
34	50	0.5	2	9	10	0.1	10	1.2
34	60	0.5	2	9	10	0.1	10	1.3
34	70	0.5	2	9	10	0.1	10	1.5
34	80	0.5	3	9	10	0.1	10	1.6
34	90	0.5	3	9	10	0.1	10	1.6
34	100	0.5	3	9	10	0.1	10	1.6
35	10	0	0	10	10	0	10	1.1
35	20	0	0	10	10	0	10	1.1
35	30	0	0	10	10	0	10	1.1
35	40	0	0	10	10	0	10	1.1
35	50	0	0	10	10	0	10	1.2
35	60	0	0	10	10	0	10	1.2
35	70	0.5	2	9	10	0.1	10	1.3
35	80	0.5	2	9	10	0.1	10	1.5
35	90	0.5	2	9	10	0.1	10	1.5
35	100	1.5	10	8	9	0.3	10	1.7
36	10	0	0	9	9	0	9	1.4
36	20	0	0	9	9	0	9	1.4
36	30	2	2	8	8	0.2222222222	9	1.6
36	40	2	2	8	8	0.2222222222	9	1.6
36	50	2	2	8	8	0.2222222222	9	1.6
36	60	2	2	8	8	0.2222222222	9	1.7
36	70	2	2	8	8	0.2222222222	9	1.7
36	80	2	2	8	8	0.2222222222	9	1.8
36	90	2	2	8	8	0.2222222222	9	2
36	100	2	2	8	8	0.2222222222	9	2.2
37	10	0	0	9	9	0	9	1
37	20	0	0	9	9	0	9	1
37	30	0	0	9	9	0	9	1
37	40	0	0	9	9	0	9	1
37	50	0	0	9	9	0	9	1
37	60	1	2	8	8	0.2222222222	9	1.1
37	70	1	2	8	8	0.2222222222	9	1.1
37	80	1	2	8	8	0.2222222222	9	1.1
37	90	2	3	7	8	0.3333333333	9	1.3
37	100	2	3	7	8	0.3333333333	9	1.3
38	10	0	0	10	10	0	10	1
38	20	0	0	10	10	0	10	1
38	30	0	0	10	10	0	10	1
38	40	0	0	10	10	0	10	1
38	50	0.5	3	9	10	0.1	10	1
38	60	1.5	4	8	10	0.2	10	1.1
38	70	1.5	4	8	10	0.2	10	1.1
38	80	1.5	4	8	10	0.2	10	1.2
38	90	1.5	4	8	10	0.2	10	1.2
38	100	2	6	7	10	0.3	10	1.2
39	10	0	0	10	10	0	10	1.1
39	20	0.5	2	9	10	0.1	10	1.1
39	30	0.5	2	9	10	0.1	10	1.1
39	40	0.5	2	9	10	0.1	10	1.1
39	50	1	1	9	10	0.1	10	1.5
39	60	1	1	9	10	0.1	10	1.6
39	70	1	1	9	10	0.1	10	1.6
39	80	1	1	9	10	0.1	10	1.6
39	90	1.5	3	8	10	0.2	10	1.5
39	100	1.5	3	8	10	0.2	10	1.6
40	10	0	0	10	10	0	10	1.1
40	20	0.5	2	9	10	0.1	10	1.1
40	30	0.5	2	9	10	0.1	10	1.1
40	40	0.5	2	9	10	0.1	10	1.1
40	50	0.5	2	9	10	0.1	10	1.2
40	60	0.5	2	9	10	0.1	10	1.4
40	70	0.5	2	9	10	0.1	10	1.6
40	80	1	4	7	10	0.3	10	1.3
40	90	1	4	7	10	0.3	10	2.3
40	100	1.5	6	6	10	0.4	10	2.4
41	10	0	0	10	10	0	10	1.1
41	20	0	0	10	10	0	10	1.1
41	30	0	0	10	10	0	10	1.1
41	40	0	0	10	10	0	10	1.1
41	50	0	0	10	10	0	10	1.1
41	60	0	0	10	10	0	10	1.2
41	70	0	0	10	10	0	10	1.2
41	80	0	0	10	10	0	10	1.2
41	90	0	0	10	10	0	10	1.2
41	100	0.5	3	9	10	0.1	10	1.2
42	10	0	0	10	10	0	10	1
42	20	0	0	10	10	0	10	1
42	30	0	0	10	10	0	10	1
42	40	0	0	10	10	0	10	1.1
42	50	0	0	10	10	0	10	1.1
42	60	0	0	10	10	0	10	1.2
42	70	0	0	10	10	0	10	1.2
42	80	0	0	10	10	0	10	1.3
42	90	0	0	10	10	0	10	1.3
42	100	0.5	2	8	10	0.2	10	1.2
43	10	0	0	10	10	0	10	1.3
43	20	0	0	10	10	0	10	1.3
43	30	0	0	10	10	0	10	1.5
43	40	0	0	10	10	0	10	1.7
43	50	0	0	10	10	0	10	1.7
43	60	0	0	10	10	0	10	1.8
43	70	0	0	10	10	0	10	1.9
43	80	0	0	10	10	0	10	2
43	90	0	0	10	10	0	10	2
43	100	0	0	10	10	0	10	2
44	10	0	0	10	10	0	10	1
44	20	0	0	10	10	0	10	1
44	30	0	0	10	10	0	10	1.1
44	40	0	0	10	10	0	10	1.1
44	50	0	0	10	10	0	10	1.1
44	60	0.5	3	9	10	0.1	10	1.1
44	70	0.5	3	9	10	0.1	10	1.1
44	80	0.5	3	9	10	0.1	10	1.2
44	90	0.5	3	9	10	0.1	10	1.2
44	100	0.5	3	9	10	0.1	10	1.4
45	10	0	0	10	10	0	10	1.1
45	20	0.5	2	9	10	0.1	10	1.2
45	30	1	14	8	10	0.2	10	1.1
45	40	1	14	8	10	0.2	10	1.2
45	50	1	14	8	10	0.2	10	1.4
45	60	1	14	8	10	0.2	10	1.5
45	70	1	14	8	10	0.2	10	1.5
45	80	1	14	8	10	0.2	10	1.7
45	90	1	14	8	10	0.2	10	1.7
45	100	1.5	16	7	10	0.3	10	1.1
46	10	0	0	10	10	0	10	1.1
46	20	0	0	10	10	0	10	1.1
46	30	0	0	10	10	0	10	1.1
46	40	0	0	10	10	0	10	1.1
46	50	0	0	10	10	0	10	1.1
46	60	1	1	9	10	0.1	10	1.1
46	70	1	1	9	10	0.1	10	1.1
46	80	1	1	9	10	0.1	10	1.1
46	90	1	1	9	10	0.1	10	1.2
46	100	1	1	9	10	0.1	10	1.3
47	10	0	0	10	10	0	10	1.2
47	20	0	0	10	10	0	10	1.2
47	30	0	0	10	10	0	10	1.2
47	40	0	0	10	10	0	10	1.2
47	50	0	0	10	10	0	10	1.2
47	60	0	0	10	10	0	10	1.3
47	70	1	4	8	10	0.2	10	1.2
47	80	1.5	6	7	10	0.3	10	1.2
47	90	1.5	6	7	10	0.3	10	1.2
47	100	1.5	6	7	10	0.3	10	1.2
48	10	0	0	10	10	0	10	1.2
48	20	0	0	10	10	0	10	1.2
48	30	0	0	10	10	0	10	1.2
48	40	0	0	10	10	0	10	1.2
48	50	0	0	10	10	0	10	1.2
48	60	0	0	10	10	0	10	1.2
48	70	0	0	10	10	0	10	1.4
48	80	0	0	10	10	0	10	1.4
48	90	0	0	10	10	0	10	1.4
48	100	0	0	10	10	0	10	1.4
49	10	1	5	9	9	0.2	10	1.2
49	20	2	7	8	8	0.4	10	1.3
49	30	2	7	8	8	0.4	10	1.4
49	40	2.5	9	7	8	0.5	10	1.4
49	50	2.5	9	7	8	0.5	10	1.4
49	60	2.5	9	7	8	0.5	10	1.4
49	70	2.5	10	7	8	0.5	10	1.5
49	80	2.5	10	7	8	0.5	10	1.7
49	90	2.5	28	7	8	0.5	10	2
49	100	3	9	6	8	0.6	10	1.2
50	10	0	0	10	10	0	10	1
50	20	0	0	10	10	0	10	1
50	30	0	0	10	10	0	10	1
50	40	0.5	4	9	10	0.1	10	1.1
50	50	0.5	4	9	10	0.1	10	1.1
50	60	0.5	4	9	10	0.1	10	1.3
50	70	0.5	4	9	10	0.1	10	1.4
50	80	0.5	4	9	10	0.1	10	1.4
50	90	0.5	4	9	10	0.1	10	1.4
50	100	0.5	4	9	10	0.1	10	1.6
51	10	0	0	10	10	0	10	1.1
51	20	0	0	10	10	0	10	1.1
51	30	0.5	4	9	10	0.1	10	1.1
51	40	0.5	4	9	10	0.1	10	1.1
51	50	0.5	4	9	10	0.1	10	1.1
51	60	0.5	4	9	10	0.1	10	1.1
51	70	1	8	8	10	0.2	10	1.1
51	80	2	12	6	10	0.4	10	1.1
51	90	2	12	6	10	0.4	10	1.1
51	100	3.5	639	5	9	0.6	10	1.4
52	10	2.5	10	8	9	0.3	10	1.2
52	20	2.5	10	8	9	0.3	10	1.2
52	30	2.5	10	8	9	0.3	10	1.2
52	40	2.5	10	8	9	0.3	10	1.3
52	50	2.5	10	8	9	0.3	10	1.3
52	60	2.5	10	8	9	0.3	10	1.3
52	70	2.5	10	8	9	0.3	10	1.3
52	80	2.5	10	8	9	0.3	10	1.4
52	90	2.5	10	8	9	0.3	10	1.4
52	100	2.5	10	8	9	0.3	10	1.4
53	10	0	0	9	9	0	9	1.2
53	20	0	0	9	9	0	9	1.2
53	30	0	0	9	9	0	9	1.3
53	40	0.5	2	8	9	0.1111111111	9	1.3
53	50	0.5	2	8	9	0.1111111111	9	1.5
53	60	1	4	7	9	0.2222222222	9	1.5
53	70	1	4	7	9	0.2222222222	9	1.6
53	80	1	7	7	9	0.2222222222	9	1.9
53	90	1	7	7	9	0.2222222222	9	2.1
53	100	1	7	7	9	0.2222222222	9	2.4
54	10	0	0	9	9	0	9	1.4
54	20	0	0	9	9	0	9	1.4
54	30	0	0	9	9	0	9	1.4
54	40	0	0	9	9	0	9	1.4
54	50	0	0	9	9	0	9	1.4
54	60	0.5	3	9	9	0	9	1.4
54	70	0.5	3	9	9	0	9	1.4
54	80	0.5	3	9	9	0	9	1.5
54	90	0.5	3	9	9	0	9	1.5
54	100	0.5	3	9	9	0	9	1.5
55	10	0	0	10	10	0	10	1
55	20	0	0	10	10	0	10	1
55	30	0	0	10	10	0	10	1
55	40	0	0	10	10	0	10	1
55	50	0	0	10	10	0	10	1
55	60	0	0	10	10	0	10	1
55	70	1.5	3	9	9	0.2	10	1.1
55	80	2	5	8	9	0.3	10	1.2
55	90	3	13	7	8	0.5	10	1.3
55	100	3	14	7	8	0.5	10	1.6
56	10	0	0	9	9	0	9	1
56	20	0	0	9	9	0	9	1
56	30	0.5	3	8	9	0.1111111111	9	1
56	40	0.5	3	8	9	0.1111111111	9	1
56	50	0.5	3	8	9	0.1111111111	9	1
56	60	1	5	7	9	0.2222222222	9	1.1
56	70	1	4	7	9	0.2222222222	9	1.2
56	80	1.5	6	5	9	0.4444444444	9	1.5
56	90	1.5	6	5	9	0.4444444444	9	1.8
56	100	1.5	6	5	9	0.4444444444	9	1.8
57	10	1	4	8	10	0.2	10	1.2
57	20	1	4	8	10	0.2	10	1.2
57	30	1	4	8	10	0.2	10	1.3
57	40	1	4	8	10	0.2	10	1.3
57	50	1	4	8	10	0.2	10	1.4
57	60	1	4	8	10	0.2	10	1.4
57	70	1	4	8	10	0.2	10	1.4
57	80	1	4	8	10	0.2	10	1.6
57	90	1	4	8	10	0.2	10	1.7
57	100	1	4	8	10	0.2	10	1.7
58	10	0.5	8	8	9	0.1111111111	9	1
58	20	0.5	8	8	9	0.1111111111	9	1.2
58	30	0.5	8	8	9	0.1111111111	9	1.2
58	40	1	10	8	9	0.1111111111	9	1.2
58	50	1	10	8	9	0.1111111111	9	1.2
58	60	1	10	8	9	0.1111111111	9	1.2
58	70	1	10	8	9	0.1111111111	9	1.2
58	80	1	10	8	9	0.1111111111	9	1.2
58	90	1	10	8	9	0.1111111111	9	1.2
58	100	1.5	12	7	9	0.2222222222	9	1.2
59	10	0.5	2	9	10	0.1	10	1.1
59	20	0.5	2	9	10	0.1	10	1.1
59	30	1.5	3	8	10	0.2	10	1.1
59	40	1.5	3	8	10	0.2	10	1.2
59	50	1.5	3	8	10	0.2	10	1.2
59	60	1.5	3	8	10	0.2	10	1.2
59	70	1.5	3	8	10	0.2	10	1.2
59	80	1.5	3	8	10	0.2	10	1.2
59	90	2	5	7	10	0.3	10	1.3
59	100	2	5	7	10	0.3	10	1.3
60	10	0	0	9	9	0	9	1
60	20	0	0	9	9	0	9	1
60	30	0	0	9	9	0	9	1
60	40	0	0	9	9	0	9	1
60	50	0	0	9	9	0	9	1
60	60	0	0	9	9	0	9	1.1
60	70	0	0	9	9	0	9	1.1
60	80	0	0	9	9	0	9	1.2
60	90	1	4	8	9	0.1111111111	9	1.3
60	100	1	4	8	9	0.1111111111	9	1.3
61	10	0	0	10	10	0	10	1
61	20	0	0	10	10	0	10	1
61	30	0	0	10	10	0	10	1
61	40	0	0	10	10	0	10	1
61	50	0	0	10	10	0	10	1
61	60	0	0	10	10	0	10	1
61	70	0	0	10	10	0	10	1
61	80	0	0	10	10	0	10	1
61	90	0	0	10	10	0	10	1.1
61	100	0	0	10	10	0	10	1.1
62	10	0	0	10	10	0	10	1
62	20	0	0	10	10	0	10	1
62	30	0	0	10	10	0	10	1
62	40	0	0	10	10	0	10	1
62	50	0	0	10	10	0	10	1
62	60	0	0	10	10	0	10	1
62	70	0	0	10	10	0	10	1
62	80	0	0	10	10	0	10	1
62	90	0	0	10	10	0	10	1
62	100	0	0	10	10	0	10	1
63	10	0	0	10	10	0	10	1
63	20	0	0	10	10	0	10	1
63	30	0	0	10	10	0	10	1
63	40	0	0	10	10	0	10	1
63	50	0.5	2	9	10	0.1	10	1
63	60	0.5	2	9	10	0.1	10	1
63	70	0.5	2	9	10	0.1	10	1.2
63	80	0.5	2	9	10	0.1	10	1.3
63	90	0.5	2	9	10	0.1	10	1.4
63	100	2.5	4	8	9	0.3	10	1.7
64	10	0.5	2	9	10	0.1	10	1.3
64	20	0.5	2	9	10	0.1	10	1.3
64	30	0.5	2	9	10	0.1	10	1.3
64	40	0.5	2	9	10	0.1	10	1.3
64	50	0.5	2	9	10	0.1	10	1.3
64	60	0.5	2	9	10	0.1	10	1.3
64	70	0.5	2	9	10	0.1	10	1.3
64	80	1.5	6	7	10	0.3	10	1.2
64	90	2	8	6	10	0.4	10	1.2
64	100	2	8	6	10	0.4	10	1.2
65	10	0	0	10	10	0	10	1
65	20	0	0	10	10	0	10	1
